"city","month","temperature"
"Embrun","01",1.53645161290323
"Embrun","02",2.899863807592
"Embrun","03",6.29534562211982
"Embrun","04",9.31376190476191
"Embrun","05",13.341935483871
"Embrun","06",16.9967142857143
"Embrun","07",19.7888940092166
"Embrun","08",19.4259447004608
"Embrun","09",15.9206666666667
"Embrun","10",11.435668202765
"Embrun","11",5.88128571428571
"Embrun","12",2.54129032258065
"Lille","01",3.29142857142857
"Lille","02",3.86360185453492
"Lille","03",6.62456221198157
"Lille","04",9.33038095238095
"Lille","05",13.0048387096774
"Lille","06",15.8597142857143
"Lille","07",17.9107834101382
"Lille","08",17.835668202765
"Lille","09",15.189619047619
"Lille","10",11.3939170506912
"Lille","11",6.78638095238095
"Lille","12",4.1184331797235
"Montpellier","01",6.93147465437788
"Montpellier","02",7.80762387713706
"Montpellier","03",10.4827188940092
"Montpellier","04",13.1174761904762
"Montpellier","05",16.785529953917
"Montpellier","06",20.6769047619048
"Montpellier","07",23.4026728110599
"Montpellier","08",22.9101382488479
"Montpellier","09",19.6928095238095
"Montpellier","10",15.6879262672811
"Montpellier","11",10.7689047619048
"Montpellier","12",7.74433179723502
